name,x,count
subelj_euroroad,1,190
subelj_euroroad,2,612
subelj_euroroad,3,186
subelj_euroroad,4,113
subelj_euroroad,5,47
subelj_euroroad,6,15
subelj_euroroad,7,5
subelj_euroroad,8,5
subelj_euroroad,10,1
moreno_propro,1,1010
moreno_propro,2,357
moreno_propro,3,191
moreno_propro,4,89
moreno_propro,5,66
moreno_propro,6,54
moreno_propro,7,25
moreno_propro,8,12
moreno_propro,9,13
moreno_propro,10,6
moreno_propro,11,13
moreno_propro,12,5
moreno_propro,13,6
moreno_propro,14,2
moreno_propro,15,3
moreno_propro,16,2
moreno_propro,18,3
moreno_propro,19,1
moreno_propro,20,1
moreno_propro,21,3
moreno_propro,23,1
moreno_propro,25,1
moreno_propro,27,1
moreno_propro,29,2
moreno_propro,30,1
moreno_propro,38,1
moreno_propro,56,1
arenas-email,1,151
arenas-email,2,116
arenas-email,3,93
arenas-email,4,65
arenas-email,5,71
arenas-email,6,68
arenas-email,7,44
arenas-email,8,48
arenas-email,9,48
arenas-email,10,40
arenas-email,11,42
arenas-email,12,45
arenas-email,13,36
arenas-email,14,25
arenas-email,15,20
arenas-email,16,21
arenas-email,17,15
arenas-email,18,16
arenas-email,19,12
arenas-email,20,12
arenas-email,21,16
arenas-email,22,14
arenas-email,23,12
arenas-email,24,12
arenas-email,25,6
arenas-email,26,11
arenas-email,27,5
arenas-email,28,7
arenas-email,29,10
arenas-email,30,6
arenas-email,31,4
arenas-email,32,5
arenas-email,33,4
arenas-email,34,1
arenas-email,35,4
arenas-email,36,4
arenas-email,37,3
arenas-email,38,3
arenas-email,39,3
arenas-email,40,4
arenas-email,42,1
arenas-email,43,2
arenas-email,45,1
arenas-email,47,1
arenas-email,49,1
arenas-email,51,3
arenas-email,52,1
arenas-email,71,1
opsahl-powergrid,1,1226
opsahl-powergrid,2,1656
opsahl-powergrid,3,1060
opsahl-powergrid,4,401
opsahl-powergrid,5,252
opsahl-powergrid,6,137
opsahl-powergrid,7,84
opsahl-powergrid,8,46
opsahl-powergrid,9,27
opsahl-powergrid,10,26
opsahl-powergrid,11,11
opsahl-powergrid,12,5
opsahl-powergrid,13,5
opsahl-powergrid,14,3
opsahl-powergrid,18,1
opsahl-powergrid,19,1
maayan-vidal,1,1055
maayan-vidal,2,621
maayan-vidal,3,399
